X,Y,Z
-0.000000000000000000e+00,-0.000000000000000000e+00,5.000000000000000000e+01
2.786982051753563496e+02,-1.090112617838317135e+02,5.000000000000000000e+01
1.500288738857034105e+03,3.841435492936492579e+01,5.000000000000000000e+01
1.714116316262230612e+03,5.488576502347268615e+01,5.000000000000000000e+01
9.820705673755560383e+02,-2.104134583242724261e+02,5.000000000000000000e+01
8.389458025323650645e+02,-4.379111447500255281e+02,5.000000000000000000e+01
1.180923349759790881e+03,-2.890178313036327609e+02,5.000000000000000000e+01
5.866213700868523802e+02,6.733559822998897459e+01,5.000000000000000000e+01
4.689681206546753742e+02,-5.312432204352942335e+02,5.000000000000000000e+01
3.648337303559999896e+02,-9.557508018556932257e+02,5.000000000000000000e+01
1.657434727258377904e+02,-1.513916069914015736e+02,5.000000000000000000e+01
3.105650313906961202e+01,4.390170574367674021e+02,5.000000000000000000e+01
-2.173347718651514526e+02,8.390669306120163355e+02,5.000000000000000000e+01
-3.023557516806653211e+02,8.437019437720765609e+02,5.000000000000000000e+01
-4.358916769971700660e+02,7.707554282874586988e+02,5.000000000000000000e+01
-2.643061628051401613e+02,6.340540690767220440e+02,5.000000000000000000e+01
-2.890862938090371586e+02,6.641084831936412911e+02,5.000000000000000000e+01
-2.510966916017339372e+02,9.613980203513016249e+02,5.000000000000000000e+01
-1.347098861172051159e+02,1.101360042156673899e+03,5.000000000000000000e+01
-8.945363796120319932e+01,9.999400813766249030e+02,5.000000000000000000e+01
-7.064570707133631799e+01,1.203148582691153933e+03,5.000000000000000000e+01
3.916454312871447883e+02,8.264242613167981517e+02,5.000000000000000000e+01
2.960853196044299693e+02,1.038161148680598444e+03,5.000000000000000000e+01
2.383861639388286164e+02,1.213330390227092494e+03,5.000000000000000000e+01
1.851786770481723465e+02,1.349771357647839750e+03,5.000000000000000000e+01
5.060559114707557455e+02,1.270052035419771755e+03,5.000000000000000000e+01
2.498815776364301939e+02,1.344828094779993080e+03,5.000000000000000000e+01
1.799375916157216011e+02,1.434001582248245995e+03,5.000000000000000000e+01
1.283203692610831581e+02,1.500074094020259963e+03,5.000000000000000000e+01
-1.070704223414596612e+02,1.130290090401711495e+03,5.000000000000000000e+01
